Nom	Heures_Ouverture	Services	Tarifs	Liens
Matabiau Décapsule Club	"Ouverture
Lundi

15:30 - 20:00

Mardi

13:00 - 23:00

Mercredi

13:00 - 23:00

Jeudi

13:00 - 23:00

Vendredi

13:00 - 23:00

Samedi

13:00 - 23:00

Dimanche

Fermé"	['Restauration', 'Vente à emporter', 'Wifi gratuit', '🌬 Air climatisé', 'Fléchettes', 'Jeux de société']	"Happy HourStandardBière blonde(50cl)
3,70 €

4,90 €
Bière blonde(25cl)
- 
2,80 €"	/fr/places/matabiau-decapsule-club
Tom Pouce	"Ouverture
Lundi

10:30 - 20:00

Mardi

10:30 - 20:00

Mercredi

10:30 - 20:00

Jeudi

10:30 - 20:00

Vendredi

10:30 - 20:00

Samedi

10:30 - 20:00

Dimanche

Fermé"	['Terrasse', 'Restauration', 'Vente à emporter', '🌬 Air climatisé', 'Accès & Toilettes Handicapés', 'DJ Mix', 'Chiens acceptés']	"Happy HourStandard1664 Blanche(50cl)
5,50 €

7,00 €"	/fr/places/tom-pouce
The Black Lion	"Ouverture
Lundi

08:30 - 02:00

Mardi

08:30 - 02:00

Mercredi

08:30 - 02:00

Jeudi

08:30 - 02:00

Vendredi

08:30 - 02:00

Samedi

08:30 - 03:00

Dimanche

12:00 - 02:00"	['Terrasse', 'Restauration', 'Diffusion de matchs', 'Fléchettes', 'Concerts / Musique Live']	"Happy HourStandardKronenbourg(50cl)
4,00 €

- Carlsberg(50cl)
4,50 €

-  Grimbergen Blonde
(50cl)
4,50 €

-  Grimbergen
(50cl)
4,50 €

- 
aaaaaaaaaaa 
5,00 €

3,00 €

aaaaaaaaaaaaaaaaaaa 
7,00 €

6,00 €

aaaaaaaaaaaaaaaa 
1,00 €

7,00 €

aaaaaaaaaaaaaaaaa 
4,00 €

1,00 €

aaaaaaaaaaaaaaaa 
3,00 €

1,00 €

aaaaaaaaaaa 
8,00 €

3,00 €

aaaaaaaaaaaaaaa 
2,00 €

2,00 €

aaaaaaaaaaa 
1,00 €

7,00 €

aaaaaaaaaaaaaaaa 
3,00 €

2,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/the-black-lion-1
Barricot	"Ouverture
Lundi

12:00 - 22:00

Mardi

12:00 - 22:00

Mercredi

12:00 - 22:00

Jeudi

12:00 - 22:00

Vendredi

12:00 - 14:00

Samedi

Fermé

Dimanche

11:30 - 22:00"	['Terrasse', 'Restauration']	"Happy HourStandardHeineken(50cl)
- 
8,20 €
Affligem(50cl)
- 
9,50 €
 Panaché
(50cl)
- 
8,00 €
 Mandala Ipa Bio
(33cl)
- 
6,50 €

aaaaaaaaaaaaaaa 
4,00 €

1,00 €

aaaaaaaaaaaaaaaaaaaaa 
3,00 €

2,00 €

aaaaaaaaaaaaaa 
2,00 €

7,00 €

aaaaaaaaaaaaaaaaaaaaa 
4,00 €

3,00 €

aaaaaaaaaaaaaaaaaaaaa 
2,00 €

6,00 €

aaaaaaaaaaaaaaaa 
3,00 €

5,00 €

aaaaaaaaaaaaaaaa 
8,00 €

1,00 €

aaaaaaaaaaaa 
7,00 €

8,00 €

aaaaaaaaaaaaaaaaaaa 
7,00 €

4,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/barricot
La Maison	"Ouverture
Lundi

17:30 - 02:00

Mardi

17:30 - 02:00

Mercredi

17:30 - 02:00

Jeudi

17:30 - 02:00

Vendredi

17:30 - 02:00

Samedi

17:30 - 03:00

Dimanche

17:30 - 00:00"	['Terrasse', 'Restauration', 'Concerts / Musique Live']	"Happy HourStandardKronenbourg(50cl)
4,00 €

- Chouffe(50cl)
6,00 €

- 
aaaaaaaaaaaaaaaaaaaaa 
7,00 €

2,00 €

aaaaaaaaaaaaaaaaaaa 
7,00 €

1,00 €

aaaaaaaaaaaaaaaa 
5,00 €

7,00 €

aaaaaaaaaaaaaa 
5,00 €

6,00 €

aaaaaaaaaaaaaaaaa 
2,00 €

4,00 €

aaaaaaaaaaaaaaaaaaa 
4,00 €

4,00 €

aaaaaaaaaaa 
1,00 €

6,00 €

aaaaaaaaaaaaaa 
3,00 €

8,00 €

aaaaaaaaaaaaaaaaa 
4,00 €

8,00 €

aaaaaaaaaaaaaaa 
8,00 €

8,00 €

aaaaaaaaaaaaaaa 
6,00 €

4,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/la-maison-1
El Circo	"Ouverture
Lundi

Fermé

Mardi

Fermé

Mercredi

18:00 - 01:00

Jeudi

18:00 - 01:00

Vendredi

18:00 - 01:00

Samedi

18:00 - 01:00

Dimanche

18:00 - 00:00"	['Restauration', 'Concerts / Musique Live', 'DJ Mix']	"61 Rue Pargaminières, 31000 Toulouse
 +33 5 32 58 88 41
 Réserver une table"	/fr/places/el-circo
Ô Boudu Pont	"Ouverture
Lundi

15:00 - 02:00

Mardi

15:00 - 02:00

Mercredi

15:00 - 02:00

Jeudi

15:00 - 02:00

Vendredi

15:00 - 02:00

Samedi

15:00 - 03:00

Dimanche

15:00 - 02:00"	['Terrasse', 'Restauration']	"1 Rue de la République, 31300 Toulouse
 +33 9 53 88 49 60
 Réserver une table"	/fr/places/o-boudu-pont
Le Tchin	"Ouverture
Lundi

06:30 - 02:00

Mardi

06:30 - 02:00

Mercredi

06:30 - 02:00

Jeudi

06:30 - 02:00

Vendredi

06:30 - 02:00

Samedi

06:30 - 03:00

Dimanche

06:30 - 02:00"	['Terrasse', 'Restauration', 'Vente à emporter', 'Wifi gratuit', 'Diffusion de matchs', '🌬 Air climatisé', 'Accès & Toilettes Handicapés', 'Concerts / Musique Live', 'DJ Mix', 'Chiens acceptés']	"22 Rue Saint-Bernard, 31000 Toulouse
Transports
B
 Jeanne D'Arc +33 5 61 21 35 08
 Réserver une table"	/fr/places/le-tchin
The Botanist Pub	"Ouverture
Lundi

08:00 - 02:00

Mardi

08:00 - 02:00

Mercredi

08:00 - 02:00

Jeudi

08:00 - 02:00

Vendredi

08:00 - 02:00

Samedi

15:00 - 03:00

Dimanche

12:00 - 02:00"	['Terrasse', 'Restauration', 'Diffusion de matchs', '🌬 Air climatisé', 'Fléchettes']	"Happy HourStandardMonaco(55cl)
4,60 €

5,70 €

Bibiche
(55cl)
4,60 €

7,50 €
 1664 Blanche
(55cl)
4,60 €

6,70 €
 La Bête
(55cl)
4,60 €

7,40 €

aaaaaaaaaaaaaa 
5,00 €

8,00 €

aaaaaaaaaaaaaaa 
8,00 €

3,00 €

aaaaaaaaaaaaaaaaaaaa 
4,00 €

8,00 €

aaaaaaaaaaaa 
7,00 €

5,00 €

aaaaaaaaaaaa 
8,00 €

8,00 €

aaaaaaaaaaaaaa 
3,00 €

1,00 €

aaaaaaaaaaaaaaaaaaaaa 
7,00 €

2,00 €

aaaaaaaaaaaaaaaaa 
3,00 €

5,00 €

aaaaaaaaaaa 
2,00 €

6,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/the-botanist-pub
Le Péry	"Ouverture
Lundi

10:00 - 02:00

Mardi

10:00 - 02:00

Mercredi

10:00 - 02:00

Jeudi

10:00 - 02:00

Vendredi

10:00 - 02:00

Samedi

10:00 - 03:00

Dimanche

10:00 - 02:00"	['Terrasse', 'Restauration', 'Diffusion de matchs', 'Concerts / Musique Live']	"Happy HourStandard
Céréalier
(50cl)
- 
6,50 €

Premium Pils
(50cl)
- 
6,50 €
 Pils
(50cl)
- 
6,50 €
 Gallia Blanche
(50cl)
- 
7,90 €

aaaaaaaaaaaaaa 
8,00 €

2,00 €

aaaaaaaaaaaaaaaaa 
4,00 €

3,00 €

aaaaaaaaaaaa 
6,00 €

2,00 €

aaaaaaaaaaa 
2,00 €

1,00 €

aaaaaaaaaaaa 
5,00 €

1,00 €

aaaaaaaaaaaaaaaaa 
5,00 €

3,00 €

aaaaaaaaaaaa 
3,00 €

3,00 €

aaaaaaaaaaaaaaaaaaaa 
1,00 €

2,00 €

aaaaaaaaaaaaaaaaaa 
5,00 €

4,00 €
Pour voir les horaires et les prix de toutes les boissons en happy hour, télécharge l'appli Schlouk Map 
Scanner le QR CodeAppli gratuite  ·  4,8/5"	/fr/places/le-pery
